library_name,github_repo,stars,usage_count,model_ids,imported_entities
dmx,,,1,d-matrix/gpt2,d-matrix/gpt2: dmx.compressor.dmx.pipeline
dust3r,,,2,"naver/DUSt3R_ViTLarge_BaseDecoder_512_dpt, naver/DUSt3R_ViTLarge_BaseDecoder_224_linear",naver/DUSt3R_ViTLarge_BaseDecoder_512_dpt: dust3r.model.AsymmetricCroCo3DStereo; naver/DUSt3R_ViTLarge_BaseDecoder_224_linear: dust3r.model.AsymmetricCroCo3DStereo
eagle,,,2,"NVEagle/Eagle-X5-13B-Chat, NVEagle/Eagle-X5-7B",NVEagle/Eagle-X5-13B-Chat: eagle.conversation; NVEagle/Eagle-X5-13B-Chat: eagle.constants.DEFAULT_IMAGE_TOKEN; NVEagle/Eagle-X5-13B-Chat: eagle.constants.IMAGE_TOKEN_INDEX; NVEagle/Eagle-X5-13B-Chat: eagle.constants.DEFAULT_IMAGE_TOKEN; NVEagle/Eagle-X5-13B-Chat: eagle.constants.DEFAULT_IM_START_TOKEN; NVEagle/Eagle-X5-13B-Chat: eagle.constants.DEFAULT_IM_END_TOKEN; NVEagle/Eagle-X5-13B-Chat: eagle.conversation.conv_templates; NVEagle/Eagle-X5-13B-Chat: eagle.conversation.SeparatorStyle; NVEagle/Eagle-X5-13B-Chat: eagle.model.builder.load_pretrained_model; NVEagle/Eagle-X5-13B-Chat: eagle.utils.disable_torch_init; NVEagle/Eagle-X5-13B-Chat: eagle.mm_utils.tokenizer_image_token; NVEagle/Eagle-X5-13B-Chat: eagle.mm_utils.get_model_name_from_path; NVEagle/Eagle-X5-13B-Chat: eagle.mm_utils.process_images; NVEagle/Eagle-X5-13B-Chat: eagle.mm_utils.KeywordsStoppingCriteria; NVEagle/Eagle-X5-7B: eagle.conversation; NVEagle/Eagle-X5-7B: eagle.constants.DEFAULT_IMAGE_TOKEN; NVEagle/Eagle-X5-7B: eagle.constants.IMAGE_TOKEN_INDEX; NVEagle/Eagle-X5-7B: eagle.constants.DEFAULT_IMAGE_TOKEN; NVEagle/Eagle-X5-7B: eagle.constants.DEFAULT_IM_START_TOKEN; NVEagle/Eagle-X5-7B: eagle.constants.DEFAULT_IM_END_TOKEN; NVEagle/Eagle-X5-7B: eagle.conversation.conv_templates; NVEagle/Eagle-X5-7B: eagle.conversation.SeparatorStyle; NVEagle/Eagle-X5-7B: eagle.model.builder.load_pretrained_model; NVEagle/Eagle-X5-7B: eagle.utils.disable_torch_init; NVEagle/Eagle-X5-7B: eagle.mm_utils.tokenizer_image_token; NVEagle/Eagle-X5-7B: eagle.mm_utils.get_model_name_from_path; NVEagle/Eagle-X5-7B: eagle.mm_utils.process_images; NVEagle/Eagle-X5-7B: eagle.mm_utils.KeywordsStoppingCriteria
eds_pseudo_aphp,,,1,AP-HP/eds-pseudo-public,AP-HP/eds-pseudo-public: eds_pseudo_aphp
edsnlp,,,1,AP-HP/eds-pseudo-public,AP-HP/eds-pseudo-public: edsnlp; AP-HP/eds-pseudo-public: edsnlp
einops,,,2,"stabilityai/stable-audio-open-1.0, nvidia/RADIO-L",stabilityai/stable-audio-open-1.0: einops.rearrange; nvidia/RADIO-L: einops.rearrange
emoji,,,4,"beomi/KcELECTRA-base, beomi/kcbert-base, beomi/KcELECTRA-base-v2022, zhayunduo/roberta-base-stocktwits-finetuned",beomi/KcELECTRA-base: emoji; beomi/KcELECTRA-base: emoji; beomi/kcbert-base: emoji; beomi/KcELECTRA-base-v2022: emoji; beomi/KcELECTRA-base-v2022: emoji; zhayunduo/roberta-base-stocktwits-finetuned: emoji
espnet2,,,2,"espnet/voxcelebs12_ecapa_wavlm_joint, espnet/voxcelebs12_rawnet3",espnet/voxcelebs12_ecapa_wavlm_joint: espnet2.bin.spk_inference.Speech2Embedding; espnet/voxcelebs12_rawnet3: espnet2.bin.spk_inference.Speech2Embedding
esupar,,,3,"KoichiYasuoka/bert-base-thai-upos, KoichiYasuoka/bert-base-japanese-upos, KoichiYasuoka/roberta-small-japanese-luw-upos",KoichiYasuoka/bert-base-thai-upos: esupar; KoichiYasuoka/bert-base-japanese-upos: esupar; KoichiYasuoka/roberta-small-japanese-luw-upos: esupar
eva_clip,,,1,BAAI/EVA-CLIP-8B,BAAI/EVA-CLIP-8B: eva_clip.create_model_and_transforms; BAAI/EVA-CLIP-8B: eva_clip.get_tokenizer
evaluate,,,14,"distil-whisper/distil-medium.en, davebulaval/MeaningBERT, distil-whisper/distil-large-v3, distil-whisper/distil-large-v2, AC/MiniLM-L12-H384-uncased_Nvidia-Aegis-AI-Safety, distil-whisper/distil-small.en, facebook/s2t-small-librispeech-asr, kotoba-tech/kotoba-whisper-v1.0, TKU410410103/wav2vec2-base-japanese-asr, kotoba-tech/kotoba-whisper-v2.0, TKU410410103/hubert-base-japanese-asr, TKU410410103/hubert-large-japanese-asr, TKU410410103/uniTKU-hubert-japanese-asr, facebook/s2t-medium-librispeech-asr",distil-whisper/distil-medium.en: evaluate.load; davebulaval/MeaningBERT: evaluate; distil-whisper/distil-large-v3: evaluate.load; distil-whisper/distil-large-v2: evaluate.load; AC/MiniLM-L12-H384-uncased_Nvidia-Aegis-AI-Safety: evaluate; distil-whisper/distil-small.en: evaluate.load; facebook/s2t-small-librispeech-asr: evaluate.load; kotoba-tech/kotoba-whisper-v1.0: evaluate.load; TKU410410103/wav2vec2-base-japanese-asr: evaluate.load; kotoba-tech/kotoba-whisper-v2.0: evaluate.load; TKU410410103/hubert-base-japanese-asr: evaluate.load; TKU410410103/hubert-large-japanese-asr: evaluate.load; TKU410410103/uniTKU-hubert-japanese-asr: evaluate.load; facebook/s2t-medium-librispeech-asr: evaluate.load
fairseq,,,1,facebook/fastspeech2-en-ljspeech,facebook/fastspeech2-en-ljspeech: fairseq.checkpoint_utils.load_model_ensemble_and_task_from_hf_hub; facebook/fastspeech2-en-ljspeech: fairseq.models.text_to_speech.hub_interface.TTSHubInterface
fairseq2,,,1,facebook/w2v-bert-2.0,facebook/w2v-bert-2.0: fairseq2.data.audio.AudioDecoder; facebook/w2v-bert-2.0: fairseq2.data.audio.WaveformToFbankConverter; facebook/w2v-bert-2.0: fairseq2.memory.MemoryBlock; facebook/w2v-bert-2.0: fairseq2.nn.padding.get_seqs_and_padding_mask
fastchat,,,1,lightblue/suzume-llama-3-8B-multilingual,lightblue/suzume-llama-3-8B-multilingual: fastchat.conversation.Conversation; lightblue/suzume-llama-3-8B-multilingual: fastchat.conversation.register_conv_template; lightblue/suzume-llama-3-8B-multilingual: fastchat.conversation.SeparatorStyle
fastembed,,,12,"Qdrant/bge-small-en-v1.5-onnx-Q, Qdrant/all-MiniLM-L6-v2-onnx, Qdrant/bge-base-en-v1.5-onnx-Q, Qdrant/Splade_PP_en_v1, Qdrant/gte-large-onnx, Qdrant/all_miniLM_L6_v2_with_attentions, Qdrant/multilingual-e5-large-onnx, Qdrant/bge-large-en-v1.5-onnx, Qdrant/clip-ViT-B-32-vision, Qdrant/paraphrase-multilingual-MiniLM-L12-v2-onnx-Q, Qdrant/resnet50-onnx, Qdrant/clip-ViT-B-32-text",Qdrant/bge-small-en-v1.5-onnx-Q: fastembed.TextEmbedding; Qdrant/all-MiniLM-L6-v2-onnx: fastembed.TextEmbedding; Qdrant/bge-base-en-v1.5-onnx-Q: fastembed.TextEmbedding; Qdrant/Splade_PP_en_v1: fastembed.SparseTextEmbedding; Qdrant/gte-large-onnx: fastembed.TextEmbedding; Qdrant/all_miniLM_L6_v2_with_attentions: fastembed.SparseTextEmbedding; Qdrant/multilingual-e5-large-onnx: fastembed.TextEmbedding; Qdrant/bge-large-en-v1.5-onnx: fastembed.TextEmbedding; Qdrant/clip-ViT-B-32-vision: fastembed.ImageEmbedding; Qdrant/paraphrase-multilingual-MiniLM-L12-v2-onnx-Q: fastembed.TextEmbedding; Qdrant/resnet50-onnx: fastembed.ImageEmbedding; Qdrant/clip-ViT-B-32-text: fastembed.TextEmbedding
faster_whisper,,,27,"Systran/faster-whisper-large-v3, Systran/faster-whisper-small, Systran/faster-whisper-tiny, Systran/faster-whisper-base, Systran/faster-whisper-large-v2, Systran/faster-whisper-medium, guillaumekln/faster-whisper-large-v2, Systran/faster-whisper-base.en, Systran/faster-distil-whisper-medium.en, distil-whisper/distil-large-v3, Systran/faster-whisper-small.en, guillaumekln/faster-whisper-medium, Systran/faster-whisper-tiny.en, Systran/faster-distil-whisper-large-v3, Systran/faster-whisper-medium.en, guillaumekln/faster-whisper-base, guillaumekln/faster-whisper-small, bofenghuang/whisper-large-v3-french-distil-dec8, Systran/faster-distil-whisper-large-v2, Systran/faster-whisper-large-v1, bofenghuang/whisper-large-v3-french, guillaumekln/faster-whisper-medium.en, bofenghuang/whisper-large-v3-french-distil-dec2, guillaumekln/faster-whisper-tiny, guillaumekln/faster-whisper-tiny.en, ivrit-ai/faster-whisper-v2-d4, Systran/faster-distil-whisper-small.en",Systran/faster-whisper-large-v3: faster_whisper.WhisperModel; Systran/faster-whisper-small: faster_whisper.WhisperModel; Systran/faster-whisper-tiny: faster_whisper.WhisperModel; Systran/faster-whisper-base: faster_whisper.WhisperModel; Systran/faster-whisper-large-v2: faster_whisper.WhisperModel; Systran/faster-whisper-medium: faster_whisper.WhisperModel; guillaumekln/faster-whisper-large-v2: faster_whisper.WhisperModel; Systran/faster-whisper-base.en: faster_whisper.WhisperModel; Systran/faster-distil-whisper-medium.en: faster_whisper.WhisperModel; distil-whisper/distil-large-v3: faster_whisper.WhisperModel; Systran/faster-whisper-small.en: faster_whisper.WhisperModel; guillaumekln/faster-whisper-medium: faster_whisper.WhisperModel; Systran/faster-whisper-tiny.en: faster_whisper.WhisperModel; Systran/faster-distil-whisper-large-v3: faster_whisper.WhisperModel; Systran/faster-whisper-medium.en: faster_whisper.WhisperModel; guillaumekln/faster-whisper-base: faster_whisper.WhisperModel; guillaumekln/faster-whisper-small: faster_whisper.WhisperModel; bofenghuang/whisper-large-v3-french-distil-dec8: faster_whisper.WhisperModel; Systran/faster-distil-whisper-large-v2: faster_whisper.WhisperModel; Systran/faster-whisper-large-v1: faster_whisper.WhisperModel; bofenghuang/whisper-large-v3-french: faster_whisper.WhisperModel; guillaumekln/faster-whisper-medium.en: faster_whisper.WhisperModel; bofenghuang/whisper-large-v3-french-distil-dec2: faster_whisper.WhisperModel; guillaumekln/faster-whisper-tiny: faster_whisper.WhisperModel; guillaumekln/faster-whisper-tiny.en: faster_whisper.WhisperModel; ivrit-ai/faster-whisper-v2-d4: faster_whisper; Systran/faster-distil-whisper-small.en: faster_whisper.WhisperModel
fastrag,,,1,Intel/bge-small-en-v1.5-rag-int8-static,Intel/bge-small-en-v1.5-rag-int8-static: fastrag.rankers.QuantizedBiEncoderRanker
flair,,,19,"flair/ner-english-fast, flair/ner-english-large, flair/ner-french, flair/ner-english, flair/ner-german-large, flair/ner-english-ontonotes, flair/upos-english, flair/ner-english-ontonotes-large, flair/pos-english, flair/chunk-english-fast, flair/ner-english-ontonotes-fast, flair/ner-german, flair/pos-english-fast, flair/ner-spanish-large, megantosh/flair-arabic-multi-ner, flair/upos-multi, flair/ner-multi, flair/ner-dutch-large, flair/upos-english-fast",flair/ner-english-fast: flair.data.Sentence; flair/ner-english-fast: flair.models.SequenceTagger; flair/ner-english-fast: flair.data.Corpus; flair/ner-english-fast: flair.datasets.CONLL_03; flair/ner-english-fast: flair.embeddings.WordEmbeddings; flair/ner-english-fast: flair.embeddings.StackedEmbeddings; flair/ner-english-fast: flair.embeddings.FlairEmbeddings; flair/ner-english-fast: flair.models.SequenceTagger; flair/ner-english-fast: flair.trainers.ModelTrainer; flair/ner-english-large: flair.data.Sentence; flair/ner-english-large: flair.models.SequenceTagger; flair/ner-french: flair.data.Sentence; flair/ner-french: flair.models.SequenceTagger; flair/ner-french: flair.data.Corpus; flair/ner-french: flair.datasets.WIKINER_FRENCH; flair/ner-french: flair.embeddings.WordEmbeddings; flair/ner-french: flair.embeddings.StackedEmbeddings; flair/ner-french: flair.embeddings.FlairEmbeddings; flair/ner-french: flair.models.SequenceTagger; flair/ner-french: flair.trainers.ModelTrainer; flair/ner-english: flair.data.Sentence; flair/ner-english: flair.models.SequenceTagger; flair/ner-english: flair.data.Corpus; flair/ner-english: flair.datasets.CONLL_03; flair/ner-english: flair.embeddings.WordEmbeddings; flair/ner-english: flair.embeddings.StackedEmbeddings; flair/ner-english: flair.embeddings.FlairEmbeddings; flair/ner-english: flair.models.SequenceTagger; flair/ner-english: flair.trainers.ModelTrainer; flair/ner-german-large: flair.data.Sentence; flair/ner-german-large: flair.models.SequenceTagger; flair/ner-english-ontonotes: flair.data.Sentence; flair/ner-english-ontonotes: flair.models.SequenceTagger; flair/ner-english-ontonotes: flair.data.Corpus; flair/ner-english-ontonotes: flair.datasets.ColumnCorpus; flair/ner-english-ontonotes: flair.embeddings.WordEmbeddings; flair/ner-english-ontonotes: flair.embeddings.StackedEmbeddings; flair/ner-english-ontonotes: flair.embeddings.FlairEmbeddings; flair/ner-english-ontonotes: flair.models.SequenceTagger; flair/ner-english-ontonotes: flair.trainers.ModelTrainer; flair/upos-english: flair.data.Sentence; flair/upos-english: flair.models.SequenceTagger; flair/upos-english: flair.data.Corpus; flair/upos-english: flair.datasets.ColumnCorpus; flair/upos-english: flair.embeddings.WordEmbeddings; flair/upos-english: flair.embeddings.StackedEmbeddings; flair/upos-english: flair.embeddings.FlairEmbeddings; flair/upos-english: flair.models.SequenceTagger; flair/upos-english: flair.trainers.ModelTrainer; flair/ner-english-ontonotes-large: flair.data.Sentence; flair/ner-english-ontonotes-large: flair.models.SequenceTagger; flair/ner-english-ontonotes-large: flair.data.Corpus; flair/ner-english-ontonotes-large: flair.datasets.ColumnCorpus; flair/ner-english-ontonotes-large: flair.embeddings.WordEmbeddings; flair/ner-english-ontonotes-large: flair.embeddings.StackedEmbeddings; flair/ner-english-ontonotes-large: flair.embeddings.FlairEmbeddings; flair/ner-english-ontonotes-large: flair.embeddings.TransformerWordEmbeddings; flair/ner-english-ontonotes-large: flair.models.SequenceTagger; flair/ner-english-ontonotes-large: flair.trainers.ModelTrainer; flair/pos-english: flair.data.Sentence; flair/pos-english: flair.models.SequenceTagger; flair/pos-english: flair.data.Corpus; flair/pos-english: flair.datasets.ColumnCorpus; flair/pos-english: flair.embeddings.WordEmbeddings; flair/pos-english: flair.embeddings.StackedEmbeddings; flair/pos-english: flair.embeddings.FlairEmbeddings; flair/pos-english: flair.models.SequenceTagger; flair/pos-english: flair.trainers.ModelTrainer; flair/chunk-english-fast: flair.data.Sentence; flair/chunk-english-fast: flair.models.SequenceTagger; flair/chunk-english-fast: flair.data.Corpus; flair/chunk-english-fast: flair.datasets.CONLL_2000; flair/chunk-english-fast: flair.embeddings.WordEmbeddings; flair/chunk-english-fast: flair.embeddings.StackedEmbeddings; flair/chunk-english-fast: flair.embeddings.FlairEmbeddings; flair/chunk-english-fast: flair.models.SequenceTagger; flair/chunk-english-fast: flair.trainers.ModelTrainer; flair/ner-english-ontonotes-fast: flair.data.Sentence; flair/ner-english-ontonotes-fast: flair.models.SequenceTagger; flair/ner-english-ontonotes-fast: flair.data.Corpus; flair/ner-english-ontonotes-fast: flair.datasets.ColumnCorpus; flair/ner-english-ontonotes-fast: flair.embeddings.WordEmbeddings; flair/ner-english-ontonotes-fast: flair.embeddings.StackedEmbeddings; flair/ner-english-ontonotes-fast: flair.embeddings.FlairEmbeddings; flair/ner-english-ontonotes-fast: flair.models.SequenceTagger; flair/ner-english-ontonotes-fast: flair.trainers.ModelTrainer; flair/ner-german: flair.data.Sentence; flair/ner-german: flair.models.SequenceTagger; flair/ner-german: flair.data.Corpus; flair/ner-german: flair.datasets.CONLL_03_GERMAN; flair/ner-german: flair.embeddings.WordEmbeddings; flair/ner-german: flair.embeddings.StackedEmbeddings; flair/ner-german: flair.embeddings.FlairEmbeddings; flair/ner-german: flair.models.SequenceTagger; flair/ner-german: flair.trainers.ModelTrainer; flair/pos-english-fast: flair.data.Sentence; flair/pos-english-fast: flair.models.SequenceTagger; flair/pos-english-fast: flair.data.Corpus; flair/pos-english-fast: flair.datasets.ColumnCorpus; flair/pos-english-fast: flair.embeddings.WordEmbeddings; flair/pos-english-fast: flair.embeddings.StackedEmbeddings; flair/pos-english-fast: flair.embeddings.FlairEmbeddings; flair/pos-english-fast: flair.models.SequenceTagger; flair/pos-english-fast: flair.trainers.ModelTrainer; flair/ner-spanish-large: flair.data.Sentence; flair/ner-spanish-large: flair.models.SequenceTagger; megantosh/flair-arabic-multi-ner: flair.data.Sentence; megantosh/flair-arabic-multi-ner: flair.models.SequenceTagger; flair/upos-multi: flair.data.Sentence; flair/upos-multi: flair.models.SequenceTagger; flair/upos-multi: flair.data.MultiCorpus; flair/upos-multi: flair.datasets.UD_ENGLISH; flair/upos-multi: flair.datasets.UD_GERMAN; flair/upos-multi: flair.datasets.UD_FRENCH; flair/upos-multi: flair.datasets.UD_ITALIAN; flair/upos-multi: flair.datasets.UD_POLISH; flair/upos-multi: flair.datasets.UD_DUTCH; flair/upos-multi: flair.datasets.UD_CZECH; flair/upos-multi: flair.datasets.UD_DANISH; flair/upos-multi: flair.datasets.UD_SPANISH; flair/upos-multi: flair.datasets.UD_SWEDISH; flair/upos-multi: flair.datasets.UD_NORWEGIAN; flair/upos-multi: flair.datasets.UD_FINNISH; flair/upos-multi: flair.embeddings.StackedEmbeddings; flair/upos-multi: flair.embeddings.FlairEmbeddings; flair/upos-multi: flair.models.SequenceTagger; flair/upos-multi: flair.trainers.ModelTrainer; flair/ner-multi: flair.data.Sentence; flair/ner-multi: flair.models.SequenceTagger; flair/ner-multi: flair.data.Corpus; flair/ner-multi: flair.datasets.CONLL_03; flair/ner-multi: flair.datasets.CONLL_03_GERMAN; flair/ner-multi: flair.datasets.CONLL_03_DUTCH; flair/ner-multi: flair.datasets.CONLL_03_SPANISH; flair/ner-multi: flair.embeddings.WordEmbeddings; flair/ner-multi: flair.embeddings.StackedEmbeddings; flair/ner-multi: flair.embeddings.FlairEmbeddings; flair/ner-multi: flair.models.SequenceTagger; flair/ner-multi: flair.trainers.ModelTrainer; flair/ner-dutch-large: flair.data.Sentence; flair/ner-dutch-large: flair.models.SequenceTagger; flair/upos-english-fast: flair.data.Sentence; flair/upos-english-fast: flair.models.SequenceTagger; flair/upos-english-fast: flair.data.Corpus; flair/upos-english-fast: flair.datasets.ColumnCorpus; flair/upos-english-fast: flair.embeddings.WordEmbeddings; flair/upos-english-fast: flair.embeddings.StackedEmbeddings; flair/upos-english-fast: flair.embeddings.FlairEmbeddings; flair/upos-english-fast: flair.models.SequenceTagger; flair/upos-english-fast: flair.trainers.ModelTrainer
flash_attn,,,19,"NousResearch/Hermes-3-Llama-3.1-405B, NousResearch/Hermes-2-Pro-Llama-3-8B, NousResearch/Hermes-3-Llama-3.1-8B, NousResearch/Hermes-2-Pro-Llama-3-8B-GGUF, NousResearch/Hermes-2-Pro-Mistral-7B, NousResearch/Nous-Hermes-2-Mistral-7B-DPO-GGUF, NousResearch/Hermes-2-Theta-Llama-3-8B, NousResearch/Hermes-3-Llama-3.1-8B-GGUF, NousResearch/Hermes-2-Pro-Mistral-7B-GGUF, NousResearch/Hermes-3-Llama-3.1-70B, NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO, NousResearch/Nous-Hermes-2-Mistral-7B-DPO, NousResearch/Hermes-2-Theta-Llama-3-8B-GGUF, NousResearch/Hermes-3-Llama-3.1-70B-GGUF, NousResearch/Hermes-3-Llama-3.1-405B-FP8, NousResearch/Hermes-3-Llama-3.1-70B-FP8, NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF, TheBloke/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF, TheBloke/Nous-Hermes-2-Mixtral-8x7B-SFT-GGUF",NousResearch/Hermes-3-Llama-3.1-405B: flash_attn; NousResearch/Hermes-2-Pro-Llama-3-8B: flash_attn; NousResearch/Hermes-3-Llama-3.1-8B: flash_attn; NousResearch/Hermes-2-Pro-Llama-3-8B-GGUF: flash_attn; NousResearch/Hermes-2-Pro-Mistral-7B: flash_attn; NousResearch/Nous-Hermes-2-Mistral-7B-DPO-GGUF: flash_attn; NousResearch/Hermes-2-Theta-Llama-3-8B: flash_attn; NousResearch/Hermes-3-Llama-3.1-8B-GGUF: flash_attn; NousResearch/Hermes-2-Pro-Mistral-7B-GGUF: flash_attn; NousResearch/Hermes-3-Llama-3.1-70B: flash_attn; NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO: flash_attn; NousResearch/Nous-Hermes-2-Mistral-7B-DPO: flash_attn; NousResearch/Hermes-2-Theta-Llama-3-8B-GGUF: flash_attn; NousResearch/Hermes-3-Llama-3.1-70B-GGUF: flash_attn; NousResearch/Hermes-3-Llama-3.1-405B-FP8: flash_attn; NousResearch/Hermes-3-Llama-3.1-70B-FP8: flash_attn; NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF: flash_attn; TheBloke/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF: flash_attn; TheBloke/Nous-Hermes-2-Mixtral-8x7B-SFT-GGUF: flash_attn
flax,,,1,CompVis/stable-diffusion-v1-4,CompVis/stable-diffusion-v1-4: flax.jax_utils.replicate; CompVis/stable-diffusion-v1-4: flax.training.common_utils.shard; CompVis/stable-diffusion-v1-4: flax.jax_utils.replicate; CompVis/stable-diffusion-v1-4: flax.training.common_utils.shard
fourm,,,2,"EPFL-VILAB/4M_tokenizers_rgb_16k_224-448, EPFL-VILAB/4M_tokenizers_depth_8k_224-448",EPFL-VILAB/4M_tokenizers_rgb_16k_224-448: fourm.vq.vqvae.DiVAE; EPFL-VILAB/4M_tokenizers_depth_8k_224-448: fourm.vq.vqvae.DiVAE
funasr,,,1,FunAudioLLM/SenseVoiceSmall,FunAudioLLM/SenseVoiceSmall: funasr.AutoModel; FunAudioLLM/SenseVoiceSmall: funasr.utils.postprocess_utils.rich_transcription_postprocess; FunAudioLLM/SenseVoiceSmall: funasr.utils.postprocess_utils.rich_transcription_postprocess
functools,,,1,aspire/acge_text_embedding,aspire/acge_text_embedding: functools
gc,,,1,maywell/EXAONE-3.0-7.8B-Instruct-Llamafied,maywell/EXAONE-3.0-7.8B-Instruct-Llamafied: gc
gector,,,1,gotutiyan/gector-roberta-base-5k,gotutiyan/gector-roberta-base-5k: gector.modeling.GECToR; gotutiyan/gector-roberta-base-5k: gector.predict.predict; gotutiyan/gector-roberta-base-5k: gector.predict.load_verb_dict
germansentiment,,,1,oliverguhr/german-sentiment-bert,oliverguhr/german-sentiment-bert: germansentiment.SentimentModel; oliverguhr/german-sentiment-bert: germansentiment.SentimentModel
gigapath,,,1,prov-gigapath/prov-gigapath,prov-gigapath/prov-gigapath: gigapath
gliner,,,17,"EmergentMethods/gliner_medium_news-v2.1, urchade/gliner_multi-v2.1, urchade/gliner_small-v2.1, numind/NuNER_Zero, urchade/gliner_large-v2.1, DeepMount00/universal_ner_ita, urchade/gliner_base, DeepMount00/GLiNER_ITA_BASE, urchade/gliner_multi_pii-v1, urchade/gliner_multi, urchade/gliner_large-v1, urchade/gliner_medium-v2.1, DeepMount00/GLiNER_PII_ITA, DeepMount00/GLiNER_ITA_LARGE, gliner-community/gliner_medium-v2.5, urchade/gliner_large-v2, gliner-community/gliner_large-v2.5",EmergentMethods/gliner_medium_news-v2.1: gliner.GLiNER; urchade/gliner_multi-v2.1: gliner.GLiNER; urchade/gliner_small-v2.1: gliner.GLiNER; numind/NuNER_Zero: gliner.GLiNER; urchade/gliner_large-v2.1: gliner.GLiNER; DeepMount00/universal_ner_ita: gliner.GLiNER; urchade/gliner_base: gliner.GLiNER; DeepMount00/GLiNER_ITA_BASE: gliner.GLiNER; urchade/gliner_multi_pii-v1: gliner.GLiNER; urchade/gliner_multi: gliner.GLiNER; urchade/gliner_multi: gliner.GLiNER; urchade/gliner_large-v1: gliner.GLiNER; urchade/gliner_medium-v2.1: gliner.GLiNER; DeepMount00/GLiNER_PII_ITA: gliner.GLiNER; DeepMount00/GLiNER_ITA_LARGE: gliner.GLiNER; gliner-community/gliner_medium-v2.5: gliner.GLiNER; urchade/gliner_large-v2: gliner.GLiNER; gliner-community/gliner_large-v2.5: gliner.GLiNER
glob,,,2,"alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech, sayakpaul/FLUX.1-merged",alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech: glob.glob; sayakpaul/FLUX.1-merged: glob
gluonts,,,3,"Salesforce/moirai-1.0-R-small, Salesforce/moirai-1.0-R-base, Salesforce/moirai-1.0-R-large",Salesforce/moirai-1.0-R-small: gluonts.dataset.pandas.PandasDataset; Salesforce/moirai-1.0-R-small: gluonts.dataset.split.split; Salesforce/moirai-1.0-R-base: gluonts.dataset.pandas.PandasDataset; Salesforce/moirai-1.0-R-base: gluonts.dataset.split.split; Salesforce/moirai-1.0-R-large: gluonts.dataset.pandas.PandasDataset; Salesforce/moirai-1.0-R-large: gluonts.dataset.split.split
gpn,,,1,songlab/gpn-msa-sapiens,songlab/gpn-msa-sapiens: gpn.model
gptqmodel,,,1,ModelCloud/gemma-2-27b-it-gptq-4bit,ModelCloud/gemma-2-27b-it-gptq-4bit: gptqmodel.BACKEND; ModelCloud/gemma-2-27b-it-gptq-4bit: gptqmodel.GPTQModel
gradio,,,2,"microsoft/Promptist, gangyeolkim/llama-3-chat",microsoft/Promptist: gradio; gangyeolkim/llama-3-chat: gradio
gte_embedding,,,1,Alibaba-NLP/gte-multilingual-base,Alibaba-NLP/gte-multilingual-base: gte_embedding.GTEEmbeddidng
guided_filter,,,1,xinsir/controlnet-tile-sdxl-1.0,xinsir/controlnet-tile-sdxl-1.0: guided_filter.FastGuidedFilter
gzip,,,1,huggingface/CodeBERTa-language-id,huggingface/CodeBERTa-language-id: gzip
h2oai_pipeline,,,3,"h2oai/h2ogpt-gm-oasst1-en-2048-falcon-7b-v3, h2oai/h2ogpt-oig-oasst1-512-6_9b, h2oai/h2ogpt-oasst1-512-12b",h2oai/h2ogpt-gm-oasst1-en-2048-falcon-7b-v3: h2oai_pipeline.H2OTextGenerationPipeline; h2oai/h2ogpt-oig-oasst1-512-6_9b: h2oai_pipeline.H2OTextGenerationPipeline; h2oai/h2ogpt-oasst1-512-12b: h2oai_pipeline.H2OTextGenerationPipeline
happytransformer,,,2,"vennify/t5-base-grammar-correction, KES/T5-KES",vennify/t5-base-grammar-correction: happytransformer.HappyTextToText; vennify/t5-base-grammar-correction: happytransformer.TTSettings; KES/T5-KES: happytransformer.HappyTextToText; KES/T5-KES: happytransformer.TTSettings
