library_name,github_repo,stars,usage_count,model_ids
diffusers,,,296,"CompVis/stable-diffusion-v1-4, stabilityai/sdxl-turbo, stabilityai/stable-diffusion-xl-base-1.0, stable-diffusion-v1-5/stable-diffusion-v1-5, stabilityai/stable-diffusion-2-1-base, black-forest-labs/FLUX.1-dev, stabilityai/stable-diffusion-2-1, black-forest-labs/FLUX.1-schnell, stabilityai/stable-diffusion-2, h94/IP-Adapter-FaceID, stabilityai/stable-diffusion-2-inpainting, stabilityai/stable-diffusion-xl-refiner-1.0, diffusers/stable-diffusion-xl-1.0-inpainting-0.1, friedrichor/stable-diffusion-2-1-realistic, stabilityai/stable-diffusion-2-depth, benjamin-paine/stable-diffusion-v1-5, aipicasso/emi, SimianLuo/LCM_Dreamshaper_v7, stabilityai/stable-diffusion-3-medium-diffusers, timbrooks/instruct-pix2pix, cagliostrolab/animagine-xl-3.1, latent-consistency/lcm-lora-sdv1-5, stabilityai/stable-diffusion-x4-upscaler, madebyollin/sdxl-vae-fp16-fix, stabilityai/sdxl-vae, stable-diffusion-v1-5/stable-diffusion-inpainting, ByteDance/Hyper-SD, DeepFloyd/IF-I-M-v1.0, cerspense/zeroscope_v2_576w, enhanceaiteam/Flux-uncensored, InstantX/InstantID, dreamlike-art/dreamlike-photoreal-2.0, THUDM/CogVideoX-2b, kandinsky-community/kandinsky-2-1, latent-consistency/lcm-lora-sdxl, Lykon/AAM_XL_AnimeMix, stabilityai/stable-diffusion-2-base, ByteDance/SDXL-Lightning, tianweiy/DMD2, PixArt-alpha/PixArt-XL-2-1024-MS, stabilityai/sd-vae-ft-mse, TheMistoAI/MistoLine, kandinsky-community/kandinsky-2-1-prior, ByteDance/AnimateDiff-Lightning, THUDM/CogVideoX-5b, Corcelio/mobius, stabilityai/stable-diffusion-3-medium, DionTimmer/controlnet_qrcode-control_v1p_sd15, Lykon/dreamshaper-8, stabilityai/sd-turbo, lllyasviel/control_v11e_sd15_shuffle, sd-community/sdxl-flash, emilianJR/epiCRealism, wangfuyun/AnimateLCM, kandinsky-community/kandinsky-2-2-prior, Shakker-Labs/AWPortrait-FL, kandinsky-community/kandinsky-2-2-decoder, dataautogpt3/ProteusV0.3, Kwai-Kolors/Kolors-diffusers, google/ddpm-celebahq-256, admruul/anything-v3.0, botp/stable-diffusion-v1-5, dataautogpt3/ProteusV0.2, playgroundai/playground-v2.5-1024px-aesthetic, stabilityai/sd-x2-latent-upscaler, segmind/SSD-1B, nerijs/pixel-art-xl, Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro, mann-e/Mann-E_Dreams, stabilityai/stable-cascade, CompVis/ldm-super-resolution-4x-openimages, prompthero/openjourney, dataautogpt3/OpenDalleV1.1, lllyasviel/control_v11p_sd15_inpaint, cvssp/audioldm-l-full, nitrosocke/Ghibli-Diffusion, multimodalart/flux-tarot-v1, google/ddpm-cifar10-32, Linaqruf/style-enhancer-xl-lora, diffusers/controlnet-canny-sdxl-1.0, Linaqruf/anime-detailer-xl-lora, Lykon/dreamshaper-xl-lightning, leo009/stable-diffusion-3-medium, openai/shap-e, THUDM/CogVideoX-5b-I2V, Lykon/dreamshaper-xl-v2-turbo, SPO-Diffusion-Models/SPO-SDXL_4k-p_10ep, diffusers/sdxl-instructpix2pix-768, diffusers/controlnet-depth-sdxl-1.0, lllyasviel/sd-controlnet-canny, Lykon/dreamshaper-xl-1-0, madebyollin/taesdxl, lllyasviel/control_v11p_sd15_openpose, stabilityai/stable-audio-open-1.0, briaai/BRIA-2.2, lllyasviel/control_v11p_sd15_softedge, dreamlike-art/dreamlike-diffusion-1.0, lllyasviel/control_v11f1e_sd15_tile, Lykon/dreamshaper-7, stabilityai/sd-vae-ft-ema, ControlNet-1-1-preview/control_v11p_sd15_lineart, huggingface-meta/concorde, InstantX/FLUX.1-dev-Controlnet-Union, Lykon/AnyLoRA, Shakker-Labs/FLUX.1-dev-LoRA-add-details, ali-vilab/text-to-video-ms-1.7b, thibaud/controlnet-openpose-sdxl-1.0, lambdalabs/sd-image-variations-diffusers, lllyasviel/control_v11f1p_sd15_depth, amused/amused-256, lllyasviel/control_v11p_sd15_seg, linoyts/yarn_art_Flux_LoRA, Corcelio/openvision, Linaqruf/animagine-xl-3.0, Lykon/dreamshaper-xl-turbo, h1t/TCD-SDXL-LoRA, Shakker-Labs/FLUX.1-dev-LoRA-AntiBlur, xinsir/controlnet-tile-sdxl-1.0, CompVis/stable-diffusion-v1-3, CompVis/stable-diffusion-v1-2, PixArt-alpha/PixArt-Sigma-XL-2-1024-MS, DeepFloyd/IF-I-XL-v1.0, xinsir/controlnet-openpose-sdxl-1.0, dataautogpt3/ProteusV0.4, lllyasviel/control_v11p_sd15_canny, Lykon/dreamshaper-8-inpainting, xinsir/controlnet-canny-sdxl-1.0, playgroundai/playground-v2-1024px-aesthetic, google/ddpm-ema-church-256, stabilityai/stable-diffusion-2-1-unclip, lllyasviel/sd-controlnet-mlsd, ali-vilab/i2vgen-xl, DionTimmer/controlnet_qrcode, lllyasviel/sd-controlnet-depth, hakurei/waifu-diffusion, lllyasviel/control_v11p_sd15_lineart, InstantX/FLUX.1-dev-Controlnet-Canny, TencentARC/t2i-adapter-sketch-sdxl-1.0, pt-sk/stable-diffusion-1.5, xinsir/controlnet-depth-sdxl-1.0, PixArt-alpha/PixArt-XL-2-512x512, aleksa-codes/flux-ghibsky-illustration, google/ddpm-ema-celebahq-256, Shakker-Labs/FLUX.1-dev-LoRA-Logo-Design, stabilityai/stable-cascade-prior, lllyasviel/control_v11p_sd15_mlsd, kakaobrain/karlo-v1-alpha, kandinsky-community/kandinsky-2-2-decoder-inpaint, kakaobrain/karlo-v1-alpha-image-variations, Lykon/dreamshaper-8-lcm, adirik/flux-cinestill, xinsir/controlnet-scribble-sdxl-1.0, dataautogpt3/FLUX-AestheticAnime, davisbro/half_illustration, yodayo-ai/kivotos-xl-2.0, TencentARC/t2i-adapter-lineart-sdxl-1.0, kandinsky-community/kandinsky-3, masterful/gligen-1-4-generation-text-box, TencentARC/t2i-adapter-canny-sdxl-1.0, botp/stable-diffusion-v1-5-inpainting, Linaqruf/animagine-xl, benjamin-paine/stable-diffusion-v1-5-inpainting, sayakpaul/FLUX.1-merged, Shakker-Labs/FilmPortrait, BartoUno/raba, DeepFloyd/IF-II-L-v1.0, lllyasviel/sd-controlnet-scribble, TencentARC/t2i-adapter-depth-midas-sdxl-1.0, madebyollin/taesd, mann-e/Mann-E_Turbo, lllyasviel/control_v11p_sd15_scribble, Jiali/stable-diffusion-1.5, dataautogpt3/ProteusV0.4-Lightning, ovi054/rmx_flux, eurecom-ds/scoresdeve-ema-celeba-64, lllyasviel/control_v11p_sd15_normalbae, depgh4311/Sd3, sudo-ai/zero123plus-v1.1, xyn-ai/anything-v4.0, DeepFloyd/IF-II-M-v1.0, shi-labs/versatile-diffusion, lllyasviel/sd-controlnet-openpose, TencentARC/t2i-adapter-depth-zoe-sdxl-1.0, somq/fantassified_icons_v2, votepurchase/animagine-xl-3.1, lllyasviel/control_v11e_sd15_ip2p, emilianJR/CyberRealistic_V3, AlekseyCalvin/historic_color_schnell, lllyasviel/control_v11p_sd15s2_lineart_anime, yodayo-ai/clandestine-xl-1.0, Shakker-Labs/FLUX.1-dev-ControlNet-Depth, cvssp/audioldm2, BartoUno/ken, yahoo-inc/photo-background-generation, jimmycarter/flux-training-losercity-next-lycoris14, DoctorDiffusion/doctor-diffusion-s-controllable-vector-art-xl-lora, Lykon/absolute-reality-1.6525, jasperai/Flux.1-dev-Controlnet-Upscaler, segmind/Segmind-Vega, bdsqlsz/stable-diffusion-v1-5, BleachNick/SD3_UltraEdit_w_mask, dataautogpt3/FLUX-SyntheticAnime, TencentARC/t2i-adapter-openpose-sdxl-1.0, madebyollin/taef1, jimmycarter/flux-training, CompVis/stable-diffusion-v1-1, Kernel/sd-nsfw, dreamlike-art/dreamlike-anime-1.0, recoilme/ColorfulXL-Lightning, Fantasy-Studio/Paint-by-Example, veryVANYA/ps1-style-flux, Sourabh2/Human_Face_generator, google/ddpm-cat-256, SvenN/sdxl-emoji, cvssp/audioldm2-large, Linaqruf/anything-v3-1, diffusers/ddpm_dummy, diffusers/controlnet-zoe-depth-sdxl-1.0, fofr/flux-minecraft-movie, sWizad/pokemon-trainer-sprite-pixelart, TencentARC/t2iadapter_sketch_sd15v2, yodayo-ai/holodayo-xl-2.1, Tencent-Hunyuan/HunyuanDiT-Diffusers, latent-consistency/lcm-lora-ssd-1b, lambdalabs/sd-pokemon-diffusers, lzyvegetable/backup-stable-diffusion-v1-5, warp-ai/wuerstchen, Ojimi/anime-kawai-diffusion, Prgckwb/trpfrog-diffusion, Shakker-Labs/FLUX.1-dev-LoRA-live-3D, Naznut/Pony_LORAs, Lykon/absolute-reality-1.6525-inpainting, scenario-labs/more_details, jimmycarter/flux-training-losercity-next-lycoris8, Alpha-VLLM/Lumina-Next-SFT-diffusers, bghira/flux-sfwbooru-3.5M-lokr-attempt5, fofr/sdxl-2004, Linaqruf/animagine-xl-2.0, IDKiro/sdxs-512-0.9, bghira/flux-sfwbooru-3.5M-lokr-attempt5b, TencentARC/t2iadapter_canny_sd15v2, nitrosocke/Arcane-Diffusion, TencentARC/t2iadapter_depth_sd15v2, TencentARC/t2iadapter_zoedepth_sd15v1, destitech/controlnet-inpaint-dreamer-sdxl, BartoUno/mayy, TencentARC/t2iadapter_color_sd14v1, brushpenbob/flux-midjourney-anime, segmind/tiny-sd, fal/AuraFlow-v0.2, adipanda/luffy-simpletuner-lora-6, jasperai/Flux.1-dev-Controlnet-Surface-Normals, SebastianBodza/Flux_Aquarell_Watercolor_v2, darkstorm2150/Protogen_x5.8_Official_Release, nitrosocke/mo-di-diffusion, BartoUno/marl, artificialguybr/ps1redmond-ps1-game-graphics-lora-for-sdxl, fal/AuraFlow-v0.3, CompVis/ldm-text2im-large-256, v2ray/stable-diffusion-3-medium-diffusers, IDKiro/sdxs-512-dreamshaper, kandinsky-community/kandinsky-2-2-controlnet-depth, BKM1804/dr-lora-fl, RareConcepts/Flux.1-dev-LoRA-r128-RedditReality, ghunkins/stable-diffusion-v1-5-inpainting, gligen/diffusers-generation-text-box, digiplay/nk15_diffusers, fal/AuraFlow, warp-ai/wuerstchen-prior, nitrosocke/elden-ring-diffusion, wyyadd/sd-1.5, PixArt-alpha/PixArt-LCM-XL-2-1024-MS, BartoUno/patr, openai/diffusers-cd_bedroom256_lpips, diffusers/controlnet-depth-sdxl-1.0-small, BartoUno/pon2, nitrosocke/archer-diffusion, Norod78/Flux_1_Dev_LoRA_Paper-Cutout-Style, Tencent-Hunyuan/HunyuanDiT-v1.1-Diffusers-Distilled, jimmycarter/flux-training-losercity-next, digiplay/SweetMuse_diffusers, instruction-tuning-sd/cartoonizer, BartoUno/nnya3234, oxfldr/nyolings-lora-flux-dev, guoyww/animatediff-motion-adapter-v1-5-2, darkstorm2150/Protogen_v2.2_Official_Release, markury/breaking-bad-flux, fofr/flux-mona-lisa, minimaxir/sdxl-wrong-lora, CrucibleAI/ControlNetMediaPipeFace, Disty0/FLUX.1-dev-qint8, ashllay/stable-diffusion-v1-5-archive, Luo-Yihong/yoso_sd1.5_lora, kudelabs/FLUX.1-schnell, naclbit/trinart_stable_diffusion_v2, lichorosario/aluber-itura"
dmx,,,1,d-matrix/gpt2
dust3r,,,2,"naver/DUSt3R_ViTLarge_BaseDecoder_512_dpt, naver/DUSt3R_ViTLarge_BaseDecoder_224_linear"
eagle,,,2,"NVEagle/Eagle-X5-13B-Chat, NVEagle/Eagle-X5-7B"
eds_pseudo_aphp,,,1,AP-HP/eds-pseudo-public
edsnlp,,,1,AP-HP/eds-pseudo-public
einops,,,2,"stabilityai/stable-audio-open-1.0, nvidia/RADIO-L"
emoji,,,4,"beomi/KcELECTRA-base, beomi/kcbert-base, beomi/KcELECTRA-base-v2022, zhayunduo/roberta-base-stocktwits-finetuned"
espnet2,,,2,"espnet/voxcelebs12_ecapa_wavlm_joint, espnet/voxcelebs12_rawnet3"
esupar,,,3,"KoichiYasuoka/bert-base-thai-upos, KoichiYasuoka/bert-base-japanese-upos, KoichiYasuoka/roberta-small-japanese-luw-upos"
eva_clip,,,1,BAAI/EVA-CLIP-8B
evaluate,,,14,"distil-whisper/distil-medium.en, davebulaval/MeaningBERT, distil-whisper/distil-large-v3, distil-whisper/distil-large-v2, AC/MiniLM-L12-H384-uncased_Nvidia-Aegis-AI-Safety, distil-whisper/distil-small.en, facebook/s2t-small-librispeech-asr, kotoba-tech/kotoba-whisper-v1.0, kotoba-tech/kotoba-whisper-v2.0, TKU410410103/wav2vec2-base-japanese-asr, TKU410410103/hubert-base-japanese-asr, TKU410410103/hubert-large-japanese-asr, TKU410410103/uniTKU-hubert-japanese-asr, facebook/s2t-medium-librispeech-asr"
fairseq,,,1,facebook/fastspeech2-en-ljspeech
fairseq2,,,1,facebook/w2v-bert-2.0
fastchat,,,1,lightblue/suzume-llama-3-8B-multilingual
fastembed,,,12,"Qdrant/bge-small-en-v1.5-onnx-Q, Qdrant/all-MiniLM-L6-v2-onnx, Qdrant/bge-base-en-v1.5-onnx-Q, Qdrant/Splade_PP_en_v1, Qdrant/gte-large-onnx, Qdrant/all_miniLM_L6_v2_with_attentions, Qdrant/bge-large-en-v1.5-onnx, Qdrant/multilingual-e5-large-onnx, Qdrant/clip-ViT-B-32-vision, Qdrant/paraphrase-multilingual-MiniLM-L12-v2-onnx-Q, Qdrant/resnet50-onnx, Qdrant/clip-ViT-B-32-text"
faster_whisper,,,26,"Systran/faster-whisper-large-v3, Systran/faster-whisper-small, Systran/faster-whisper-base, Systran/faster-whisper-tiny, Systran/faster-whisper-large-v2, Systran/faster-whisper-medium, Systran/faster-whisper-base.en, guillaumekln/faster-whisper-large-v2, Systran/faster-distil-whisper-medium.en, distil-whisper/distil-large-v3, Systran/faster-whisper-small.en, guillaumekln/faster-whisper-medium, Systran/faster-whisper-tiny.en, Systran/faster-distil-whisper-large-v3, Systran/faster-whisper-medium.en, guillaumekln/faster-whisper-base, guillaumekln/faster-whisper-small, bofenghuang/whisper-large-v3-french-distil-dec8, Systran/faster-distil-whisper-large-v2, Systran/faster-whisper-large-v1, bofenghuang/whisper-large-v3-french, guillaumekln/faster-whisper-medium.en, bofenghuang/whisper-large-v3-french-distil-dec2, guillaumekln/faster-whisper-tiny, guillaumekln/faster-whisper-tiny.en, Systran/faster-distil-whisper-small.en"
fastrag,,,1,Intel/bge-small-en-v1.5-rag-int8-static
finetuner,,,1,jinaai/jina-embedding-b-en-v1
flair,,,19,"flair/ner-english-fast, flair/ner-english-large, flair/ner-french, flair/ner-english, flair/ner-german-large, flair/ner-english-ontonotes, flair/upos-english, flair/ner-english-ontonotes-large, flair/pos-english, flair/chunk-english-fast, flair/ner-english-ontonotes-fast, flair/ner-german, flair/pos-english-fast, flair/ner-spanish-large, megantosh/flair-arabic-multi-ner, flair/upos-multi, flair/ner-multi, flair/ner-dutch-large, flair/upos-english-fast"
flax,,,2,"CompVis/stable-diffusion-v1-4, gligen/diffusers-generation-text-box"
fourm,,,2,"EPFL-VILAB/4M_tokenizers_rgb_16k_224-448, EPFL-VILAB/4M_tokenizers_depth_8k_224-448"
fs,,,2,"Xenova/musicgen-small, Xenova/speecht5_tts"
funasr,,,1,FunAudioLLM/SenseVoiceSmall
functools,,,1,aspire/acge_text_embedding
gc,,,1,maywell/EXAONE-3.0-7.8B-Instruct-Llamafied
gector,,,1,gotutiyan/gector-roberta-base-5k
germansentiment,,,1,oliverguhr/german-sentiment-bert
gigapath,,,1,prov-gigapath/prov-gigapath
gliner,,,17,"EmergentMethods/gliner_medium_news-v2.1, urchade/gliner_multi-v2.1, urchade/gliner_small-v2.1, numind/NuNER_Zero, urchade/gliner_large-v2.1, urchade/gliner_base, DeepMount00/universal_ner_ita, urchade/gliner_multi_pii-v1, DeepMount00/GLiNER_ITA_BASE, urchade/gliner_multi, urchade/gliner_large-v1, urchade/gliner_medium-v2.1, DeepMount00/GLiNER_PII_ITA, gliner-community/gliner_medium-v2.5, DeepMount00/GLiNER_ITA_LARGE, urchade/gliner_large-v2, gliner-community/gliner_large-v2.5"
glob,,,2,"alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech, sayakpaul/FLUX.1-merged"
gluonts,,,3,"Salesforce/moirai-1.0-R-small, Salesforce/moirai-1.0-R-base, Salesforce/moirai-1.0-R-large"
gpn,,,1,songlab/gpn-msa-sapiens
gptqmodel,,,1,ModelCloud/gemma-2-27b-it-gptq-4bit
gradio,,,5,"microsoft/Promptist, hamzab/roberta-fake-news-classification, Omartificial-Intelligence-Space/Arabic-llama3.1-16bit-FT, gangyeolkim/llama-3-chat, cofeg/Finetuned-Xunzi-Qwen2-1.5B-for-ancient-text-generation"
gte_embedding,,,1,Alibaba-NLP/gte-multilingual-base
guided_filter,,,1,xinsir/controlnet-tile-sdxl-1.0
gzip,,,1,huggingface/CodeBERTa-language-id
h2oai_pipeline,,,3,"h2oai/h2ogpt-gm-oasst1-en-2048-falcon-7b-v3, h2oai/h2ogpt-oig-oasst1-512-6_9b, h2oai/h2ogpt-oasst1-512-12b"
happytransformer,,,2,"vennify/t5-base-grammar-correction, KES/T5-KES"
haystack,,,15,"deepset/roberta-base-squad2, deepset/bert-large-uncased-whole-word-masking-squad2, deepset/roberta-base-squad2-distilled, deepset/tinyroberta-squad2, Intel/bge-small-en-v1.5-rag-int8-static, deepset/minilm-uncased-squad2, deepset/xlm-roberta-large-squad2, deepset/bert-base-cased-squad2, deepset/roberta-large-squad2, mixedbread-ai/deepset-mxbai-embed-de-large-v1, deepset/gelectra-base-germanquad, deepset/gelectra-large-germanquad, deepset/bert-base-uncased-squad2, deepset/deberta-v3-large-squad2, deepset/deberta-v3-base-squad2"
hazm,,,1,m3hrdadfi/wav2vec2-large-xlsr-persian
hf_olmo,,,3,"allenai/OLMo-7B, allenai/OLMo-1B, allenai/OLMo-7B-Instruct"
huggingface_hub,,,115,"distil-whisper/distil-medium.en, mistralai/Mistral-7B-Instruct-v0.3, hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4, opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill, hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4, ByteDance/Hyper-SD, DeepFloyd/IF-I-M-v1.0, mistralai/Mistral-7B-v0.3, hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4, distil-whisper/distil-large-v3, QuantFactory/Mistral-Nemo-Instruct-2407-GGUF, InstantX/InstantID, mistralai/Mistral-Nemo-Instruct-2407, distil-whisper/distil-large-v2, ByteDance/SDXL-Lightning, 1-800-BAD-CODE/xlm-roberta_punctuation_fullstop_truecase, tianweiy/DMD2, TheBloke/deepseek-coder-33B-instruct-AWQ, TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ, ByteDance/AnimateDiff-Lightning, FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8, TheBloke/Mistral-7B-Instruct-v0.2-GPTQ, lllyasviel/control_v11e_sd15_shuffle, TheBloke/Mistral-7B-Instruct-v0.2-AWQ, hugging-quants/Meta-Llama-3.1-405B-Instruct-AWQ-INT4, shenzhi-wang/Llama3.1-8B-Chinese-Chat, TheBloke/Mistral-7B-OpenOrca-GPTQ, TencentARC/PhotoMaker, TheBloke/openchat_3.5-GPTQ, microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224, opensearch-project/opensearch-neural-sparse-encoding-doc-v1, mistralai/Codestral-22B-v0.1, nvidia/domain-classifier, hugging-quants/Meta-Llama-3.1-70B-Instruct-GPTQ-INT4, mistralai/Mistral-Nemo-Base-2407, allenai/OLMoE-1B-7B-0924, LanguageBind/Video-LLaVA-7B-hf, mistralai/Mistral-Large-Instruct-2407, TencentARC/PhotoMaker-V2, lllyasviel/control_v11p_sd15_openpose, lllyasviel/control_v11p_sd15_softedge, ControlNet-1-1-preview/control_v11p_sd15_lineart, lllyasviel/control_v11f1p_sd15_depth, lllyasviel/control_v11p_sd15_seg, mistralai/Mamba-Codestral-7B-v0.1, paige-ai/Virchow2, TheBloke/OpenHermes-2.5-Mistral-7B-AWQ, DeepFloyd/IF-I-XL-v1.0, TheBloke/deepseek-coder-6.7B-base-AWQ, lllyasviel/control_v11p_sd15_canny, TheBloke/zephyr-7B-beta-GPTQ, MahmoodLab/UNI, mistralai/Mistral-Small-Instruct-2409, lllyasviel/control_v11p_sd15_lineart, TheBloke/zephyr-7B-beta-AWQ, lllyasviel/control_v11p_sd15_mlsd, shenzhi-wang/Llama3.1-70B-Chinese-Chat, distil-whisper/distil-small.en, TheBloke/Amethyst-13B-Mistral-GPTQ, xinsir/controlnet-scribble-sdxl-1.0, TheBloke/Mistral-7B-OpenOrca-AWQ, MaziyarPanahi/Mistral-7B-v0.3, galatolo/cerbero-7b, TheBloke/CapybaraHermes-2.5-Mistral-7B-AWQ, TheBloke/TinyLlama-1.1B-Chat-v0.3-AWQ, TheBloke/Mixtral-8x7B-Instruct-v0.1-AWQ, OpenVINO/Phi-3-mini-4k-instruct-int4-ov, sayakpaul/FLUX.1-merged, allenai/OLMo-1B-0724-hf, DeepFloyd/IF-II-L-v1.0, lllyasviel/control_v11p_sd15_scribble, failspy/Codestral-22B-v0.1-abliterated-v3, lllyasviel/control_v11p_sd15_normalbae, AP-HP/eds-pseudo-public, daxa-ai/pebblo-classifier, DeepFloyd/IF-II-M-v1.0, lllyasviel/control_v11e_sd15_ip2p, shenzhi-wang/Gemma-2-9B-Chinese-Chat, MaziyarPanahi/Mistral-7B-Instruct-v0.3, lllyasviel/control_v11p_sd15s2_lineart_anime, nvidia/quality-classifier-deberta, TheBloke/LlamaGuard-7B-AWQ, bioptimus/H-optimus-0, mistralai/Mathstral-7B-v0.1, allenai/OLMo-7B-0424-hf, bullerwins/Codestral-22B-v0.1-hf, ali-vilab/modelscope-damo-text-to-video-synthesis, allenai/OLMo-7B, TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ, paige-ai/Virchow, TheBloke/dolphin-2.7-mixtral-8x7b-AWQ, parler-tts/parler-tts-mini-expresso, abhinavkulkarni/codellama-CodeLlama-7b-Python-hf-w4-g128-awq, SvenN/sdxl-emoji, allenai/OLMo-1B, TechxGenus/Mistral-Large-Instruct-2407-AWQ, hugging-quants/Meta-Llama-3.1-405B-Instruct-GPTQ-INT4, shenzhi-wang/Gemma-2-27B-Chinese-Chat, akjindal53244/Llama-3.1-Storm-8B-GGUF, fofr/sdxl-2004, TheBloke/deepseek-coder-6.7B-instruct-AWQ, TheBloke/meditron-70B-GPTQ, TheBloke/zephyr-7B-alpha-GPTQ, allenai/OLMo-7B-0724-hf, AMead10/Mistral-Small-Instruct-2409-awq, TheBloke/orangetin-OpenHermes-Mixtral-8x7B-GPTQ, mistral-community/Mistral-7B-Instruct-v0.3, TheBloke/NeuralHermes-2.5-Mistral-7B-GPTQ, yujiepan/llama-3-tiny-random, HuggingFaceFW/ablation-model-fineweb-edu, QuantFactory/Llama3.1-8B-Chinese-Chat-GGUF, QuantFactory/Mistral-Nemo-Base-2407-GGUF, TheBloke/meditron-7B-AWQ, heegyu/EEVE-Korean-Instruct-10.8B-v1.0-GGUF, Disty0/FLUX.1-dev-qint8"
huggingsound,,,18,"jonatasgrosman/wav2vec2-large-xlsr-53-english, jonatasgrosman/wav2vec2-large-xlsr-53-portuguese, jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn, jonatasgrosman/wav2vec2-large-xlsr-53-russian, jonatasgrosman/wav2vec2-large-xlsr-53-japanese, jonatasgrosman/wav2vec2-xls-r-1b-portuguese, jonatasgrosman/wav2vec2-large-xlsr-53-arabic, jonatasgrosman/wav2vec2-large-xlsr-53-dutch, jonatasgrosman/wav2vec2-large-xlsr-53-polish, jonatasgrosman/wav2vec2-large-xlsr-53-french, jonatasgrosman/wav2vec2-large-xlsr-53-hungarian, jonatasgrosman/wav2vec2-large-xlsr-53-spanish, jonatasgrosman/wav2vec2-large-xlsr-53-greek, jonatasgrosman/wav2vec2-large-xlsr-53-italian, jonatasgrosman/wav2vec2-large-xlsr-53-persian, jonatasgrosman/wav2vec2-large-xlsr-53-finnish, jonatasgrosman/wav2vec2-large-xlsr-53-german, medtalkai/wav2vec_kenlm5"
human_eval,,,4,"Phind/Phind-CodeLlama-34B-v2, TheBloke/Phind-CodeLlama-34B-v1-GGUF, TheBloke/Phind-CodeLlama-34B-v2-GGUF, TheBloke/Phind-CodeLlama-34B-Python-v1-GGUF"
icecream,,,1,megantosh/flair-arabic-multi-ner
importlib,,,3,"nguyenvulebinh/wav2vec2-base-vi, nguyenvulebinh/wav2vec2-base-vi-vlsp2020, AIRI-Institute/gena-lm-bert-base-t2t"
infinity_emb,,,6,"BAAI/bge-base-en-v1.5, BAAI/bge-large-en-v1.5, BAAI/bge-small-en-v1.5, BAAI/bge-reranker-large, BAAI/bge-reranker-base, michaelfeil/bge-small-en-v1.5"
insightface,,,2,"h94/IP-Adapter-FaceID, InstantX/InstantID"
instruct_pipeline,,,3,"databricks/dolly-v2-3b, databricks/dolly-v2-7b, databricks/dolly-v2-12b"
intel_extension_for_pytorch,,,4,"Intel/neural-chat-7b-v3-3, Intel/neural-chat-7b-v3-1, Intel/intel-optimized-model-for-embeddings-v1, Intel/neural-chat-7b-v3-2"
intel_extension_for_transformers,,,3,"Intel/neural-chat-7b-v3-3, Intel/neural-chat-7b-v3-1, Intel/neural-chat-7b-v3-2"
io,,,41,"nateraw/vit-age-classifier, rinna/japanese-cloob-vit-b-16, stabilityai/stable-diffusion-x4-upscaler, kandinsky-community/kandinsky-2-1, kandinsky-community/kandinsky-2-1-prior, Qwen/Qwen2-Audio-7B-Instruct, HuggingFaceM4/idefics2-8b, kandinsky-community/kandinsky-2-2-prior, kandinsky-community/kandinsky-2-2-decoder, HuggingFaceM4/Idefics3-8B-Llama3, CompVis/ldm-super-resolution-4x-openimages, facebook/detr-resnet-50-panoptic, rinna/japanese-clip-vit-b-16, ZB-Tech/Text-to-Image, HuggingFaceM4/idefics2-8b-base, HuggingFaceM4/idefics2-8b-chatty, wenbopan/Faro-Yi-9B-DPO, wenbopan/Faro-Yi-9B, TIGER-Lab/Mantis-8B-Idefics2, shi-labs/versatile-diffusion, fal/AuraSR-v2, line-corporation/clip-japanese-base, Qwen/Qwen2-Audio-7B, yahoo-inc/photo-background-generation, StanfordAIMI/CheXagent-8b, wenbopan/Faro-Yi-34B, wenbopan/Faro-Yi-34B-DPO, Fantasy-Studio/Paint-by-Example, antony66/whisper-large-v3-russian, FredZhang7/google-safesearch-mini-v2, THUDM/cogvlm2-llama3-caption, antonioglass/vit-age-classifier, jadechoghari/vfusion3d, ddobokki/ko-trocr, recruit-jp/japanese-clip-vit-b-32-roberta-base, unum-cloud/uform3-image-text-english-small, qresearch/llama-3.1-8B-vision-378, amiriparian/ExHuBERT, fal/AuraSR, 1aurent/vit_base_patch8_224.kaiko_ai_towards_large_pathology_fms, naclbit/trinart_stable_diffusion_v2"
ip_adapter,,,2,"h94/IP-Adapter-FaceID, h1t/TCD-SDXL-LoRA"
itertools,,,6,"0x7o/keyt5-large, opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill, opensearch-project/opensearch-neural-sparse-encoding-doc-v1, svalabs/cross-electra-ms-marco-german-uncased, opensearch-project/opensearch-neural-sparse-encoding-v1, opensearch-project/opensearch-neural-sparse-encoding-v2-distill"
japanese_clip,,,2,"rinna/japanese-cloob-vit-b-16, rinna/japanese-clip-vit-b-16"
jetmoe,,,1,jetmoe/jetmoe-8b
